id,system,type,path,_created,_who,_host,_updated
01|bnk6/sys-3|RVMARKET,bnk6/sys-3,RVMARKET,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
02|bnk6/sys-3|RVLIBOR,bnk6/sys-3,RVLIBOR,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
03|bnk6/sys-3|TBILLS_NI.xml,bnk6/sys-3,TBILLS_NI.xml,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
04|bnk6/sys-3|RVTBILLS,bnk6/sys-3,RVTBILLS,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
05|bnk6/sys-3|SDI_NI.xml,bnk6/sys-3,SDI_NI.xml,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
06|bnk6/sys-3|RVNI,bnk6/sys-3,RVNI,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
07|bnk6/sys-3|RVMARKET,bnk6/sys-3,RVMARKET,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
08|bnk6/sys-3|RVONIA,bnk6/sys-3,RVONIA,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
09|bnk6/sys-3|RVECB,bnk6/sys-3,RVECB,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
10|bnk6/sys-3|RVCPI,bnk6/sys-3,RVCPI,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
11|bnk6/sys-3|RVEURIBOR,bnk6/sys-3,RVEURIBOR,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
12|bnk6/sys-3|RVEONIA,bnk6/sys-3,RVEONIA,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
13|bnk6/sys-3|RVSONIA,bnk6/sys-3,RVSONIA,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
14|bnk6/sys-3|RVSOFR,bnk6/sys-3,RVSOFR,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
15|bnk6/sys-3|RVESTR,bnk6/sys-3,RVESTR,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
16|bnk6/sys-3|RVTONAR,bnk6/sys-3,RVTONAR,/Users/matttownsend/Documents/GitHub/mwt-go-dev/data/siena/rates_in,30/04/2021 00:00:00,imported,silicon.local,30/04/2021 00:00:00
